F1;F2;F3;F4
363;261;490;628
349;248;506;646
338;233;519;661
331;222;527;673
342;229;515;655
346;235;504;642
360;249;490;625
371;261;473;607
391;282;457;588
401;294;444;575
409;305;432;561
395;288;451;584
371;262;480;615
349;242;504;641
338;228;520;660
331;219;531;672
339;225;524;664
349;237;507;647
384;274;464;597
399;289;448;579
405;297;436;565
395;284;448;579
377;265;468;602
369;257;473;609
388;278;460;593
401;292;444;574
412;307;428;557
395;286;448;579
401;294;440;570
416;310;420;547
426;322;412;539
444;341;396;520
444;341;376;498
496;396;360;480
524;424;352;471
542;441;340;458
556;455;332;448
549;447;344;461
559;459;328;444
545;443;348;466
552;451;336;452
538;435;344;461
521;417;360;480
510;404;372;494
500;392;384;508
486;378;392;516
500;397;400;525
514;411;412;537
507;404;424;552
472;365;428;556
465;358;432;561
475;368;428;556
486;380;420;547
493;387;412;538
482;376;420;547
475;368;428;556
489;383;416;542
510;405;388;511
531;427;376;498
545;441;364;484
559;455;352;471
573;469;336;452
563;459;348;466
552;447;360;480
566;463;344;461
556;451;356;475
514;409;396;520
489;383;424;552
450;341;448;579
433;323;464;597
419;308;476;610
409;297;484;620
402;288;492;629
394;280;496;633
405;292;488;624
412;299;480;615
423;312;472;606
430;320;464;597
433;324;456;588
426;316;460;593
437;328;452;583
444;335;444;574
451;343;436;565
461;354;424;552
482;376;404;529
493;388;392;516
486;380;396;520
500;395;384;507
493;388;388;511
496;391;380;503
500;395;376;498
493;387;384;507
503;399;372;494
510;405;364;484
517;412;356;475
521;416;352;471
